id,text_chunk,source,auto_label,label
2488,"Our report also highlights a number of our breakthrough innovations, drawing insights from the leading edge of climate innovation. Our progress In 2020, Microsoft made bold sustainability commitments. At this halfway point to our 2030 goals, we are reaching key milestones and making progress that includes:   Ecosystems.",gold,,1
5868,"That s why we partnered with the WEF s Giving to Amplify Earth Action initiative and joined a community of like-minded corporate philanthropies and leading foundations to help launch the Corporate Philanthropy Challenge for People and Planet, with the shared goal of mobilizing $1 billion in catalytic capital for climate and nature solutions by 2030. The Google.org Impact Challenge on Climate Innovation supports breakthrough projects that use data and technology to accelerate climate action. AI for sustainability Our operations",gold,0.0,1
4148,36 Refer to footnote 22. 37	Including iPhone 15 Plus and iPhone 15 Pro models. Excludes trace amount of rare earth elements found outside of the magnets.,gold,,0
6000,"As of 2021, Google is a signatory of the Climate Neutral Data Centre Pact, a pledge of data centers in Europe to achieve climate neutrality by 2030. The Pact sets targets in five areas: energy efficiency, renewables, water, circular economy, and heat recovery. In 2023, we successfully completed third-party verification that our five Google-owned and -operated data centers in the EU met the five pact targets in line with the Self-Regulatory Initiative.",gold,0.0,0
1660,"In Europe, Visa worked to support the development and expansion of EV charging points in compliance with the Alternative Fuel Infrastructure Regulation, which requires all EV charging stations to accept card and contactless payments. Visa built upon efforts in Europe to continue partnerships with transit agencies worldwide to help launch projects, supporting sustainable mobility through contactless ticketing and fare payment solutions. We also advised EU clients through our Sustainability Advisory arm on their EV strategies and created market-reports, as well as using Visa s transaction data to provide insights on trends around EV usage and propensity.",gold,1.0,1
7292,"In 2022, we launched the Pfizer Growth Universe a singular source for colleagues to access growth resources and explore new experiences. Colleagues can access articles, videos, podcasts, and toolkits that address a variety of topics, from leadership and cultural awareness to content for specialized business functions. Colleague Diversity, Equity, and Inclusion (DEI)",gold,,1
3948,Wi-Fi + Cellular kg CO2e iPad mini (6th generation) Wi-Fi + Cellular kg CO2e Note: Dashes indicate that the configuration does not exist. 1 Product carbon footprint data for Apple products are published in our Product Environmental Reports and are accurate as of product launch.,gold,,1
7531,"Connecting our Purpose, Strategy, and ESG; pg. 9 Priority ESG Issues; pg 10 - 12 About This Report; pg. 81 2022 Annual Review: About This Review; pg.",gold,,1
6658,"As an example, in 2023, our Firm participated as one of several investors in a $40 million Series-C funding round for Transfr. The technology company is using virtual reality technology to help students and job seekers explore diferent careers in an immersive way and complete the initial phases of training for a new role quickly and at low cost. Careers and Skills Policy Agenda: We support advancing a broad policy agenda to promote high-quality career pathways through improving education and workforce systems and building durable partnerships between local school systems, post-secondary institutions, education and workforce development agencies, and employers.",gold,1.0,1
3089,"Additionally, CIF is partnering with leading programs globally to build an inclusive innovation ecosystem: Advancing Climate and Clean Energy Leaders (ACCEL) This accelerator, launched by Greentown Labs and Browning the Green Space (BGS), bolsters climate tech startups and founders from historically underserved communities by addressing structural inequalities through non-dilutive funding, networking connections, resources, and opportunities. The program combines education, prototyping support, mentorship, and networking to accelerate pilots, partnerships, and funding.",gold,1.0,1
4120,"Data in this report, including data or verification from third parties, reflects estimates using methodologies and assumptions believed to be reasonable and accurate. Those estimates, methodologies, and assumptions may change in the future as a result of new information or subsequent developments, or they ultimately may prove to be inaccurate. In addition, the bulk of Apple s recycled content data is certified and thus verified by a third party.",gold,0.0,1
5275,"Providing people with information on sustainable alternatives often provides co-benefits  like saving them time or money, or improving their health. We also strive to enable businesses to track emissions, optimize operations, and drive climate action throughout their value chains. Across sectors that have been identified by experts as having the largest mitigation potential, 63 we ve chosen to focus on energy and transportation which collectively account for roughly half of global emissions 64 (see Figure 4 and Figure 5).",gold,1.0,1
4147,34	This statistic compares the carbon footprint of aluminum from recycled sources with primary aluminum smelted with electricity generated from coal. 35	Refer to footnote 21. 36 Refer to footnote 22.,gold,,0
4461,"Additionally, climate-related risks are assessed at least annually as part of the company s enterprise risk management (ERM) program, and ERM outputs are discussed with the Governance Risk Committee. The Board s Audit Committee oversees overall risk identification, monitoring, and mitigation processes, and the results of the annual ERM process are shared with the Audit Committee. Read more in the Corporate Governance section.",gold,,1
2806,"LEARNINGS AND WHAT S NEXT Improving monitoring and evaluation. As we continue our journey to become water positive, advancing monitoring, data, and insights will allow us to take more precise action and adjust our approaches to meet our targets. If we face scenarios where water volume cannot be confirmed or if there is a project that experienced delays or other challenges, these insights will allow us to respond appropriately.",gold,1.0,1
202,"We can also mitigate a building s carbon footprint by using higher-strength structural steel, which is made by cooling the metal quickly during manufacturing. The manufacturing process of lower-carbon steel gives it a higher strengthto-weight ratio, which means that less material and as a result, less embodied carbon is used to perform the same function. By incorporating higher-strength steel into its data center structural designs, AWS has reduced steel content by 70 tons for each two-story data center and 137 tons for each three-story data center, decreasing emissions by 63 and 124 metric tons of CO2e, respectively.",gold,0.0,0
3805,"In 2023, we continued to provide additional support for suppliers through trainings on the new regulations, which were attended by more than 490 participants who helped validate over 3,300 materials for low-VOC compliance. By deploying a VOC specification worldwide, we re also helping drive adoption of low-VOC alternatives around the world. And we re working with our suppliers to identify and develop alternate nonPFAS materials materials without regrettable substitutions that meet the current and upcoming complex per- and polyfluoroalkyl substances (PFAS) regulatory requirements.",gold,,0
1047,"In addition, we have developed cutting-edge protective equipment for specific jobs. For example, we have developed intelligent safety vests for employees who maintain our robots. These vests use short-range radio frequencies to send signals to robots in real time.",gold,,1
7107,"Guided by our values and our commitment to long term sustainability, our ESG approach informs how we can advance our purpose  Breakthroughs that change patients  lives in a responsible and sustainable way that takes accountability for the impact we make on society. By taking proactive, collaborative steps to advance ESG at Pfizer, we can help improve health outcomes, build trust, create shared value, and make a positive impact on society for years to come. ESG best practice is often recognized as aligning and embedding robust ESG management into our strategy so that the company and its priority ESG workstreams move together, leading to opportunities of mutual reinforcement and impact.",gold,1.0,1
801,"Certified Tier 1 Diverse Suppliers Our SDI program is dedicated to the inclusion of businesses owned by an individual or group that is a member of a traditionally underrepresented or underutilized group. Spending with certified Tier 1 diverse suppliers spurs economic growth and supports jobs in our suppliers  communities. We purchase goods and services directly from small, medium, and large global companies to support our business entities.",gold,,1
3501,"And in 2023, we socialized our learnings with our partners, including suppliers and industry groups. Read the summary of our findings in the  Promising production pathways and opportunities to scale  section of the Sustainable Aviation Fuel Primer report. We also trialed the limited use of SAF on two flights that shipped select iPad models in 2023.",gold,0.0,1
3604,We continue to expand the number of parts that can be recovered or refurbished to our high quality and performance standards so they can be reused as replacements. This enables us to reduce the need to create spare parts as we repair devices. We also remain focused on opportunities to reuse accessories sent for recycling.,gold,1.0,1
305,"In 2023, Amazon announced 39 new renewable energy projects across Europe, adding more than 1 GW of renewable energy capacity to grids in the region. Our total capacity of renewable energy in Europe is now 7 GW, including 1.7 GW of renewable energy from offshore wind. Offshore wind turbines are an important source of renewable energy due to the volume they produce and their reliability, as winds tend to be higher and more consistent at sea.",gold,0.0,0
749,"Source Amazon private brands seafood products that have a third-party sustainability certification or are actively working toward certification or engaged in a fishery improvement project (FIP).H Eggs Source shell and liquid egg products to a cage-free or higher animal welfare standard. Pork Source fresh pork sold in the Whole Foods Market meat department in the U.S. and Canada that is crate-free and certified by the Global Animal Partnership. By the end of 2025, source private brands pork and bacon products sold in North America gestation crate-free.",gold,0.0,1
1385,"We have adopted policies and practices designed to embed accountability and enable responsible execution for data practices throughout the organization. We utilize the expertise of dedicated security, privacy and data professionals working around the world. Data Values The Visa Data Values emphasize our commitment to responsible data use and outline the principles we apply when we collect, use and share consumer data.",gold,,1
4405,"We also believe that associates should exercise these rights in an informed manner and with the benefit of thoughtful consideration of available information, including the free exchange of ideas, opinions, and information, provided there is no interference. We have a robust labor compliance program designed so that freedom of association is upheld and is consistent with Walmart s policies, positions, and relevant laws. For example: All supervisors receive training that includes information on respecting associates  rights.",gold,1.0,1
2891,"In 2025 and beyond, we re excited to accelerate our adoption of circular practices as we work to collaboratively find solutions for our most challenging materials. Continuing prevention first. Preventing waste remains the core of our zero waste strategy.",gold,0.0,1
5855,"This work will provide conservationists around the world with the tools and information they need to conserve and restore these vital ecosystems in a changing climate. The Woodwell Climate Research Center was another program recipient, receiving $5 million in 2023 to develop a near real-time tracking system for Arctic permafrost thaw with the Permafrost Discovery Gateway. This project will help researchers, nonprofits, and others forecast seasonal permafrost thaw and estimate associated carbon release.",gold,0.0,0
751,"Other Animal Proteins Source all fresh beef, pork, chicken, turkey (excluding kosher turkey), and lamb sold in the meat department to Whole Foods Market s Animal Welfare Standards. Source animal protein products within Amazon private brands in North America and Europe to the following requirements under our animal welfare policy: (1) Products or raw materials must be sourced from farms assured to an approved animal welfare or quality program or standard audited regularly by an independent third party, (2) suppliers must have a formal process for ensuring the welfare of animals in their supply chain, and (3) products or raw materials must be traceable from their origin. Apparel Goals and Ambitions Cotton Source all cotton for Amazon private brands apparel products from more sustainable sources, which we define as being sourced from recycled materials, from farms certified as producing organic cotton, or through the Better Cotton Initiative.",gold,0.0,1
4146,"Since publishing the  Material Impact Profiles  white paper, we ve expanded our analysis to include biodiversity factors. To account for recycled aluminum, we use third-party certified recycled aluminum data, as well as supplier-verified data, meaning it has been reported by the supplier and cross-checked by Apple. 34	This statistic compares the carbon footprint of aluminum from recycled sources with primary aluminum smelted with electricity generated from coal.",gold,0.0,0
1256,"The program focuses on helping growth-minded entrepreneurs make confident, informed decisions to grow their business. More than 7 million unique individuals and small business owners from over 180 countries accessed Visa s Financial Education resources in FY2023. We leverage Practical Business Skills in initiatives globally, including:   Offering Online Small Business Hubs, which are localized digital resource centers providing tools, partner offers and guidance on starting, running and growing digital-first SMBs.",gold,0.0,1
955,"Examples of 2023 employee-led projects include:   Sustainability Ambassadors established a waste diversion program for our EU Logistics organization that reduced waste by 1.4 grams per dispatched shipment, for a total of 6 tons of waste avoided. The team s waste avoidance projects helped us divert 88% of waste from landfills in 2023. AWS Sustainability Ambassadors continued their implementation of the LED Everywhere Project, an initiative started in 2021 that aims to replace fluorescent or less energy-efficient lighting with LED alternatives in all AWS data centers.",gold,0.0,0
6319,Brief summaries of complex and dynamic skills and experience found among our Board members   which include ESG matters   can be found in our Proxy Statement. The Board oversees management directly and through its fve standing committees: Public Responsibility Committee Compensation & Management Development Committee Risk Committee Audit Committee Corporate Governance & Nominating Committee Each committee operates pursuant to a written charter and oversees ESGrelated matters within its scope of responsibility. These charters and the Firm s Corporate Governance Principles guide the Board s governance and oversight functions and can be accessed on our website.,gold,,1
2351,"2023 was the first full year the Tesla Integrity Line was available to external parties to raise a potential concern. There is a clear process, detailed and publicly available here. Tesla Integrity Line was added to the Tesla Supplier Portal in 2023 to make it more accessible to supply chain workers with access to the Portal.",gold,0.0,0
3922,"In 2023, our third cohort of the Impact Accelerator included 12 businesses at the leading edge of environmental services and solutions. Each company selected was at least 51 percent owned, operated, and controlled by a Black, Hispanic/Latinx, or Indigenous individual and aligned closely with our environmental strategy, including our commitment to reach carbon neutrality by 2030. The Impact Accelerator s goal is to ensure that our work to protect the environment also helps advance equity and expand access to opportunity for communities of color.",gold,0.0,1
878,"Since 2020, Amazon and AWS have helped 21 million people globally gain access to these training opportunities. AWS supported upskilling initiatives through the following programs:   AWS Cloud Institute, a new, structured, hands-on training program that helps learners launch their cloud careers in as little as one year regardless of their technical background. The first AWS Cloud Institute cohort began classes in January 2024.",gold,0.0,1
1129,"For the first time, people with hearing loss can stream sound directly from their Amazon smart TVs to their cochlear hearing implants via the open-source Audio Streaming for Hearing Aids protocol. This latest innovation was built in partnership with customers and members of the AmazonPwD employee affinity group who use cochlear implants. We have the world s largest catalog of movies with additional spoken audio, which describes what is happening on screen, making it easier for our customers who identify as blind or visually impaired to enjoy their favorite Prime content.",gold,,1
3716,"Plastics comprise one of the major waste streams in our supply chain. For this reason, we ve focused our efforts on reducing the amount of plastic waste generated during manufacturing. In 2018, we partnered with a key material vendor to develop components that have helped our suppliers reduce waste.",gold,,1
2333,"Impact (Continued)   Supported the expansion of the Better Mining Supply Chain Due Diligence Monitoring, Corrective Action Plans and 3T minerals traceability program in the DRC and Rwanda to two additional 3T mine sites, enabling on one hand a substantial increase in volume of Better Mining-assured 3T minerals, and on the other hand, an increase of the number of impacted workers by 44.5% in these most upstream positions of the global minerals supply chain. ""Through constant on-site presence and the development of innovative technology, Better Mining brings necessary transparency to conditions on artisanal- and small-scale mine sites, supporting continual improvements and bridging the ethical and accountability gap from consumers towards the ASM operators and their local communities, which are vital for the achievement of the downstream's sustainability goals. I am very proud of the proven replicability and continued impact and growth of our program over the years, and I am grateful for the commitment of our supporters in this journey.""",gold,1.0,1
5940,"We calculate Consumed Grid CFE as a percentage of our load in a given market that s matched with CFE from the grid after the application of Contracted CFE. For hours when Contracted CFE equals or exceeds our load, Consumed Grid CFE is equal to zero. If our Contracted CFE is less than our load in an hour, then the Consumed Grid CFE is calculated by applying the hourly Grid CFE percentage to the remaining load, and then dividing that product by the total load in that hour.",gold,,0
2873,"From improving the repairability of devices to redesigning packaging for recyclability and waste reduction, these efforts align with the principles driving progress in datacenter waste management, such as reuse, recycling, and material optimization. By applying a circular mindset, significant advancements have been made in both packaging and device design since 2020, with a focus on scaling these solutions across product lines. Reducing waste in packaging design Since 2020, we have been systematically phasing out single-use plastics in our packaging, and recyclability has been prioritized.",gold,1.0,1
4891,"The impact of this change is not material. FY2025 ESG Report INTRODUCTION OPPORTUNITY SUSTAINABILITY COMMUNITY ETHICS & INTEGRITY APPENDIX Serving Communities Safer, Healthier Products Disaster Preparedness and Response Disaster Preparedness and Response Our Aspiration We aim to be a reliable resource in times of crisis, helping communities prepare for and respond to disasters, with a focus on associate well-being, serving customer needs and providing relief to affected communities in coordination with others. Relevance to Our Business and Society Disasters including extreme weather events impact our associates, customers, and communities, as well as potentially hindering Walmart s ability to serve our customers.",gold,1.0,1
5368,"This growing threat is reflected in the all-time high global searches for  air quality index  and  wildfire  in June 2023, 93 coinciding with the peak of the Canada wildfires that year. To minimize the impact of wildfires on communities, Google has developed an AIbased technology to map wildfires in near real time in Google Search and Maps. The tool uses data from geostationary satellites such as NOAA s GOES constellation to show the size of a wildfire, with data refreshed roughly every 15 to 20 minutes.",gold,,0
6697,"Our grant recipients are working to test and scale innovative models to increase the supply of climate-resilient, energy-efcient afordable homes. Inland Empire, California 33 Borrowers qualify for the Preservation Program based on project documentation and afordability targets (more than 50% of the rental units are noted as afordable based on current rent levels of each unit and county area median income ( AMI )). Borrowers in the Preservation Program beneft from a graduated interest rate discount to maintain rental unit afordability and must re-qualify annually.",gold,0.0,1
3946,Wi-Fi + Cellular kg CO2e iPad Pro 11-inch (4th generation) Wi-Fi + Cellular kg CO2e iPad Air (5th generation) Wi-Fi + Cellular kg CO2e iPad (10th generation),gold,,1
4956,"Integrity in Action The Integrity in Action Award is Walmart s global recognition program that celebrates associates who exemplify our values and champion a culture of integrity every day. Associates in each of our global markets are invited to nominate colleagues, and Walmart recognizes winners at our annual Associates Week events. Regular Risk Identification and Analysis We continually review and assess our compliance-related risks.",gold,,1
3424,"As green financing mechanisms remain integral to the Supplier Energy Efficiency Program, we re exploring new approaches that connect suppliers to external funding for energy efficiency projects while scaling the program and accelerating reductions. In 2023, more than 100 supplier facilities participated in our energy efficiency program, achieving more than 2 billion kilowatt-hours of electricity savings and more than 2,200,000 MMBtu in additional energy savings. Together, we estimate that this avoided nearly 1.7 million metric tons of CO2e, representing a 25 percent increase since 2022.",gold,0.0,0
6967,"The table cross-references existing disclosures that address or are related to the GRI indicators therein. Unless otherwise noted, all data and descriptions apply to our entire Firm and are as of or for the year ended December 31, 2023. 2024 Proxy Statement (p. 25-28) SOCIAL 2-13 Delegation of responsibility for managing impacts 61-62, 68) Reporting period, frequency and contact point APPENDICES Note: Reporting frequency is annual, and aligns to the Firm s fnancial reporting period.",gold,0.0,0
4190,"We account for savings through this program on a fiscal-year basis, rather than a calendar-year basis as reported in publications before fiscal year 2021. 77 Refer to footnote 15. 78 By the end of fiscal year 2030, we plan to replenish 100 percent of our corporate freshwater withdrawals in high-stress locations, as determined by a WRI Aqueduct Baseline Water Stress Indicator, and further refined through local context and analysis.",gold,1.0,0
767,"In 2023, we launched 28 new Echo, Fire TV, Fire tablet, Kindle e-reader, Ring, Blink, and smart home devices and accessories that were recognized by certifications in our Climate Pledge Friendly program. We design our devices with a focus on carbon reduction and manufacture them with responsibly sourced materials. Sustainability is considered throughout the lifecycle of a product from how we build it to how our customers use and retire it.",gold,0.0,1
6260,"2 Activities that we count toward our SDT and that meet the eligibility criteria detailed in our Sustainable Bond Framework may also be included in our Sustainable Asset Portfolio, to which net proceeds from our Sustainable Bond issuances are allocated. For more information on JPMorgan Chase s Sustainable Bond issuances, see page 84. OUR APPROACH TO TRANSACTIONS THAT SUPPORT MULTIPLE OBJECTIVES USING OUR PRINCIPAL CAPITAL IN SUPPORT OF SUSTAINABLE DEVELOPMENT INTRODUCTION Message from Our Chairman Company at a Glance Our Approach to ESG Our $2.5T Sustainable Development Target GOVERNANCE ENVIRONMENTAL SOCIAL APPENDICES Progress Toward the Sustainable Development Target3 PROGRESS TOWARD THE SUSTAINABLE DEVELOPMENT TARGET5,6 $285B $2.5T By the end of 2030 $197B $194B $675B | 27% Since 2021 We track progress toward our SDT by attributing business activity across the Firm that supports our SDT s objectives.",gold,,1
3613,We work with best-in-class recyclers to maximize the potential of the recycling materials stream and drive our efforts to close the loop on key materials. We define best-in-class recyclers as those capable of recovering materials at high rates and doing so with better environmental and safety performance. We verify recyclers  compliance with our Supplier Code of Conduct and Supplier Responsibility Standards through third-party assessments.,gold,0.0,1
5655,"We first achieved this goal in 2020 for our Nest, Pixel, and Chromecast devices, and have maintained it for these products launched each year since through 2023. Additionally, Fitbit devices launched in 2023 included recycled materials the first year Fitbit devices were included in this goal. We also set a target to use recycled or renewable material in at least 50% of plastic used across our consumer hardware product portfolio by 2025, prioritizing recycled plastic where we can.",gold,0.0,0
1970,"We are committed to upholding and respecting all internationally recognized human rights throughout our direct operations and supply chain-including with respect to our employees, customers, shareholders, suppliers and the communities in which we live and operate. Tesla's Global Human Rights Policy outlines the company's salient human rights issues. We seek to avoid causing or contributing to actual or potentially adverse human rights impacts, and we expect our suppliers to support and promote these values in their own operations and those of their suppliers.",gold,1.0,1
6681,"THOUGHT LEADERSHIP THOUGHT LEADERSHIP We aim to foster the success of all businesses that we support. This includes diverse suppliers through direct engagement as their customer, as well as through philanthropic capital, and advocate for policies that support small businesses and underserved entrepreneurs. Small Business Research and Policy Agenda: We are supporting research and policies that would create better access to capital, increase participation of small businesses in public and private sector supply chains and improve advisory assistance for underserved entrepreneurs.",gold,1.0,1
117,"Ocean transportation has a lower carbon footprint than air transportation does, so we prioritize shipping our products on ships, whenever feasible. In 2023, we transported 90% of our imported transoceanic shipments via ocean freight and 2% via airfreight. Ocean Freight Zero-emission fuel:",gold,0.0,0
2899,"Combining quantitative data with qualitative insights from our regional operators allows us to make informed investments and advance our zero waste commitments. Microsoft sustainability Carbon Water Waste Ecosystems Overview Customer sustainability Global sustainability Appendix 2025 Environmental Sustainability Report Ecosystems In this section Our approach Fostering biodiversity at campuses and datacenters Collaborating to protect ecosystems community-wide Advancing conservation through technology Learnings and what s next Protecting ecosystems Land protection >30% In 2022, we met our target of protecting more land than we use by 2025, a target we ve since exceeded by more than 30%.",gold,0.0,0
939,"These services include family bereavement support and free, confidential support to employees and their dependents who have been diagnosed with a critical or terminal illness. Amazon solicits ongoing feedback from our workforce and input from external partners to help ensure our health and wellness benefits meet the evolving needs of all employees. For example, in 2023, we generally aligned our U.S. genderaffirming coverage with recommendations from the World Professional Association for Transgender Health.",gold,,1
2503,"This approach is projected to reduce the embodied carbon footprint of these new datacenters by up to 65% compared to typical precast concrete. We also doubled our rate of power savings and are transitioning from traditional air-cooled datacenters to chip-level liquid cooling designs at all owned datacenters. As the World Economic Forum highlighted in Innovation and Adaptation in the Climate Crisis,  Data-driven and digital technologies are uniquely suited to build adaptive capacity.",gold,0.0,1
4205,"Some highlights: Opportunity: We believe in providing pathways to success for our associates, and we take a skills-based approach to hiring and advancement. For example, approximately 75% of our U.S. salaried store, club, and supply chain management started their careers in hourly positions, and we have prioritized development of professional growth paths from entry-level to leadership roles in areas such as retail management, maintenance, pharmacy, and tech. We expanded our Live Better U beyond four-year degrees to include thousands of short-form courses and credentials for associates at no cost to them, including trade certifications and specialized credentials relevant for in-demand jobs at Walmart and beyond.",gold,1.0,1
3164,"We also supported development of the Carbon Certification and Removal Framework and advocated for a clear differentiation between removal and reductions, enhanced sustainability criteria for carbon farming and biomass-based activities, strengthened leakage considerations, and the independence of certification schemes. We also support the European Union Green Claims Directive s ambition to make environmental claims and labels more reliable, transparent, and independently verified in the European Union. Driving progress toward sustainability goals Microsoft is continuing to drive progress towards our 2030 commitments, including advocacy related to our waste and water commitments and engagement with trade associations to ensure policy alignment.",gold,1.0,1
1214,"Numbers and percentages used in this report are estimates or approximations. We describe risks and uncertainties that could cause actual results to differ materially from those expressed in, or implied by, any of these forward-looking statements in our SEC filings, including our most recent Annual Report on Form 10-K and our subsequent reports on Forms 10-Q and 8-K. In addition, actual results may vary due to changes in the macroeconomic and geopolitical environment, technology, weather patterns and climate, regulation and legislation, engagement with stakeholders, energy prices and other unforeseen events or conditions.",gold,1.0,1
1882,"replenish benefits fall under three categories: Watershed Protection and Restoration (218.0 billion liters), Water for Productive Use (46.6 billion liters) and Water Access and Sanitation (12.3 billion liters). Due to joint venture or merger and acquisition activities between 2019 and 2023, certain brands may not be accounted for in this metric. Unless otherwise stated, in this update global replenish finished beverages is based on global sales volume.",gold,,0
4716,"In addition to implementing food waste reduction practices in our retail and distribution operations, we engage with suppliers and others in the food industry to reduce food waste in our value chain, primarily by engaging suppliers and driving systems change. Engaging Suppliers Improving Standardized Date Labeling: In line with the CGF Date Labeling Call to Action, we encourage suppliers to standardize date labeling as an aid to improved customer decision-making (e.g., using the standard terms  Best If Used By  or  Use By  on packaged food labeling).",gold,1.0,1
2776,"And we can improve their attendance. Learn more about our water access and replenishment projects here Microsoft sustainability Carbon Waste Ecosystems Overview Customer sustainability Global sustainability Appendix Water 2025 Environmental Sustainability Report 1,581,273 Improving efficiency and reducing water use Complementing our work in replenishment and access, Microsoft is rethinking how water is used across our datacenters and campuses to minimize our operational footprint while meeting the growing demand for cloud and AI services. Through innovative designs like liquid cooling systems and water reuse technologies, we are reducing water consumption in our newest datacenters and campus buildings, as well as retrofitting existing facilities for enhanced efficiency.",gold,1.0,1
2992,"As a steering member, Microsoft has collaborated extensively with other industry leaders and developers on open-source projects to make key advancements, from contributions to standards like the Real Time Energy and Carbon Standard for Cloud Providers, Transforming Organizations for Sustainable Software, and the Software Carbon Efficiency Rating, to developing tools like the Impact Framework, Azure Importer, and Organizational Maturity Matrix. Microsoft also offers leadership within working groups like the Green AI Committee. Microsoft s contributions have been essential, offering expertise, use cases, and strategic applications to these projects.",gold,,1
1613,"Visa's Scope 1 emissions remained relatively consistent year over year. Visa's Scope 2 emissions were also relatively consistent from 2009 to 2019, dropping signifi antly in 2020 before dropping to zero in 2021 and 2022. In 2023, there was an increase in Scope 2 emissions from zero in 2022 to 300 in 2023.",gold,0.0,0
3401,"This retrospective view often enables us to increase the cooling capacity of our existing facilities, thereby maximizing the number of servers within our data center footprint. In 2023, we continued to see energy savings at data centers. A proprietary server design we deployed in 2021 that focused on energy and computing efficiency resulted in an additional 36 million kilowatt-hours per year in energy savings.",gold,0.0,0
1475,"42% of Visa's U.S. workforce identifies as Asian, 8% as Black, 13% as Hispanic, 35% as White and 3% as Other. Pie chart showing Visa's Ethnicities in U.S. Leadership distribution as of September 30, 2023. 18% of Visa's U.S. leadership identifies as Asian, 6% as Black, 13% as Hispanic, 60% as White and 3% as Othe.",gold,0.0,0
